year,event_date,gender,discipline_name,event_name,rank,medal,participant_type,athlete_name,country_name,country_code,performance,source_url
2001,2001-01-01,men,swimming,Men's 800 m freestyle,3,bronze,athlete,Graeme Smith,United Kingdom,GBR,7:51.12,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 100 backstroke,1,gold,athlete,Natalie Coughlin,United States,USA,1:00.37,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 100 backstroke,2,silver,athlete,Diana Mocanu,ROM,ROM,1:00.68,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 100 backstroke,3,bronze,athlete,Antje Buschschulte,GER,GER,1:01.42,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 100 breaststroke,1,gold,athlete,Luo Xuejuan,China,CHN,1:07.18 CR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 100 breaststroke,2,silver,athlete,Leisel Jones,Australia,AUS,1:07.96,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 100 breaststroke,3,bronze,athlete,Ágnes Kovács,Hungary,HUN,1:08.50,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 100 butterfly,1,gold,athlete,Petria Thomas,Australia,AUS,58.27 CR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 100 butterfly,2,silver,athlete,Otylia Jędrzejczak,Poland,POL,58.72,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 100 butterfly,3,bronze,athlete,Junko Onishi,Japan,JPN,58.88,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 100 freestyle,1,gold,athlete,Inge de Bruijn,NED,NED,54.18,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 100 freestyle,2,silver,athlete,Katrin Meissner,GER,GER,55.07,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,swimming,Women's 100 freestyle,3,bronze,athlete,Sandra Völker,GER,GER,55.11,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
